Symbol,Sector
360ONE,Financial Services
3MINDIA,Other
AADHARHFC,Financial Services
AARTIIND,Chemicals
AAVAS,Financial Services
ABB,Infrastructure
ABBOTINDIA,Pharma
ABCAPITAL,Financial Services
ABDL,FMCG
ABFRL,Services
ABLBL,Services
ABREL,Realty
ABSLAMC,Financial Services
ACC,Infrastructure
ACE,Infrastructure
ACMESOLAR,Utilities
ACUTAAS,Pharma
ADANIENSOL,Utilities
ADANIENT,Metals
ADANIGREEN,Utilities
ADANIPORTS,Infrastructure
ADANIPOWER,Utilities
AEGISLOG,Energy
AEGISVOPAK,Energy
AFCONS,Infrastructure
AFFLE,IT
AIAENG,Infrastructure
AIIL,Financial Services
AJANTPHARM,Pharma
ALKEM,Pharma
AMBER,Consumer
AMBUJACEM,Infrastructure
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANGELONE,Financial Services
ANTHEM,Pharma
ANURAS,Chemicals
APARINDS,Infrastructure
APLAPOLLO,Infrastructure
APOLLOHOSP,Pharma
APOLLOTYRE,Automobile
APTUS,Financial Services
ARE&M,Automobile
ASAHIINDIA,Automobile
ASHOKLEY,Infrastructure
ASIANPAINT,Consumer
ASTERDM,Pharma
ASTRAL,Infrastructure
ATGL,Energy
ATHERENERG,Automobile
ATUL,Chemicals
AUBANK,Financial Services
AUROPHARMA,Pharma
AWL,FMCG
AXISBANK,Banking
BAJAJ-AUTO,Automobile
BAJAJFINSV,Financial Services
BAJAJHFL,Financial Services
BAJAJHLDNG,Financial Services
BAJFINANCE,Financial Services
BALKRISIND,Automobile
BALRAMCHIN,FMCG
BANDHANBNK,Financial Services
BANKBARODA,Banking
BANKINDIA,Financial Services
BATAINDIA,Consumer
BAYERCROP,Chemicals
BBTC,FMCG
BDL,Infrastructure
BEL,Defence
BELRISE,Automobile
BEML,Infrastructure
BERGEPAINT,Consumer
BHARATFORG,Automobile
BHARTIARTL,Telecom
BHARTIHEXA,Telecom
BHEL,Infrastructure
BIKAJI,FMCG
BIOCON,Pharma
BLS,Services
BLUEDART,Services
BLUEJET,Pharma
BLUESTARCO,Consumer
BOSCHLTD,Automobile
BPCL,Energy
BRIGADE,Realty
BRITANNIA,FMCG
BSE,Financial Services
BSOFT,IT
CAMS,Financial Services
CANBK,Banking
CANFINHOME,Financial Services
CANHLIFE,Financial Services
CAPLIPOINT,Pharma
CARBORUNIV,Infrastructure
CARTRADE,Services
CASTROLIND,Energy
CCL,FMCG
CDSL,Financial Services
CEATLTD,Automobile
CEMPRO,Infrastructure
CENTRALBK,Financial Services
CESC,Utilities
CGCL,Financial Services
CGPOWER,Infrastructure
CHALET,Services
CHAMBLFERT,Chemicals
CHENNPETRO,Energy
CHOICEIN,Financial Services
CHOLAFIN,Financial Services
CHOLAHLDNG,Financial Services
CIEINDIA,Automobile
CIPLA,Pharma
CLEAN,Chemicals
COALINDIA,Energy
COCHINSHIP,Infrastructure
COFORGE,IT
COHANCE,Pharma
COLPAL,FMCG
CONCOR,Services
CONCORDBIO,Pharma
COROMANDEL,Chemicals
CPPLUS,Infrastructure
CRAFTSMAN,Automobile
CREDITACC,Financial Services
CRISIL,Financial Services
CROMPTON,Consumer
CUB,Financial Services
CUMMINSIND,Infrastructure
